,Source Account,Date,Structured Timestamp,Tweets Ago,Tweet Text,Tweet Category,Compound,Positive,Neutral,Negative
143,CBS,Wed Aug 01 18:01:00 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=18, tm_min=1, tm_sec=0, tm_wday=2, tm_yday=213, tm_isdst=-1)",44,"Hillary Clinton to executive produce TV adaptation of ""The Woman’s Hour"" https://t.co/uTMjSWpXEB https://t.co/RXzftPyn1G",Other,0.0,0.0,1.0,0.0
144,CBS,Wed Aug 01 17:55:27 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=55, tm_sec=27, tm_wday=2, tm_yday=213, tm_isdst=-1)",45,"""Even if there are 10 people voting illegally it shouldn't happen,"" Sanders said. ""The president wants to see the i… https://t.co/IgfsbIrCRg",Legal/Criminal,0.0,0.0,1.0,0.0
145,CBS,Wed Aug 01 17:52:27 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=52, tm_sec=27, tm_wday=2, tm_yday=213, tm_isdst=-1)",46,Q: Do you agree with that sentiment expressed by Sen. Thune that this investigation by Mr. Mueller ought to be comp… https://t.co/kQCu0b6g98,Other,0.3612,0.106,0.894,0.0
146,CBS,Wed Aug 01 17:45:22 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=45, tm_sec=22, tm_wday=2, tm_yday=213, tm_isdst=-1)",47,"Sanders on @POTUS' tweet to end Russia probe: ""It's not an order, it's the president's opinion...but he also wants… https://t.co/46dnXmFHSg",Other,0.0,0.0,1.0,0.0
147,CBS,Wed Aug 01 17:41:13 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=41, tm_sec=13, tm_wday=2, tm_yday=213, tm_isdst=-1)",48,"Sarah Sanders announces sanctions for two Turkish government officials, who played ""leading roles"" in the arrest an… https://t.co/3BoCjLbqVk",Other,0.0,0.115,0.769,0.115
148,CBS,Wed Aug 01 17:37:13 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=37, tm_sec=13, tm_wday=2, tm_yday=213, tm_isdst=-1)",49,Sanders says the White House and FEMA have been actively monitoring the wildfires in the West to ensure that federa… https://t.co/yJX1fUVMf8,Other,0.5994,0.205,0.795,0.0
149,CBS,Wed Aug 01 17:35:12 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=35, tm_sec=12, tm_wday=2, tm_yday=213, tm_isdst=-1)",50,WATCH NOW: White House Press Secretary Sarah Sanders holds briefing hours after President Trump's tweet saying the… https://t.co/ln3LTwdrhu,Other,0.0,0.0,1.0,0.0
150,CBS,Wed Aug 01 17:30:39 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=30, tm_sec=39, tm_wday=2, tm_yday=213, tm_isdst=-1)",51,Special counsel Robert Mueller has referred to New York prosecutors cases concerning American lobbyists who alleged… https://t.co/wivIkcFOJ5,Other,0.4019,0.144,0.856,0.0
151,CBS,Wed Aug 01 17:30:10 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=30, tm_sec=10, tm_wday=2, tm_yday=213, tm_isdst=-1)",52,"COP VS. TOT: This one-year-old was pulled over while driving his little red convertible, proving no one is too youn… https://t.co/PKMO9UdmFS",Other,-0.296,0.0,0.901,0.099
152,CBS,Wed Aug 01 17:14:40 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=17, tm_min=14, tm_sec=40, tm_wday=2, tm_yday=213, tm_isdst=-1)",53,"A group of self-proclaimed ""grannies"" is traveling 2,000 miles across the U.S. to the border with Mexico to protest… https://t.co/0JESgiRVEI",Other,0.0,0.0,1.0,0.0
153,CBS,Wed Aug 01 16:59:53 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=16, tm_min=59, tm_sec=53, tm_wday=2, tm_yday=213, tm_isdst=-1)",54,Tesla earnings: What to expect from the second quarter results https://t.co/SQxTqsHC8e https://t.co/hfEpUZHXPx,Other,0.0,0.0,1.0,0.0
154,CBS,Wed Aug 01 16:44:44 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=16, tm_min=44, tm_sec=44, tm_wday=2, tm_yday=213, tm_isdst=-1)",55,Fugitive extradited back to Arizona in border agent's 2010 slaying https://t.co/FJ6KtVm0qj https://t.co/4jHLJBiRJp,Other,0.0,0.0,1.0,0.0
